id,tag,profile,province,contribution,location,withdrawal,market,savings_rate,oas_defer,cpp_start,split_frac,spending_curve,seed,tw_gross,tw_after_tax,tw_pv,lifetime_tax,lifetime_benefits
39,grid,young_pro,AB,conventional,us_in_rrsp,tfsa_last,bear,0.15,0,65,0.0,flat,42,1008437.23,730645.9,116895.83,1087885.6500000004,217253.16999999998
40,grid,young_pro,AB,conventional,us_in_rrsp,tfsa_last,stochastic,0.15,0,65,0.0,flat,42,14504245.67,11809154.63,1889343.3,6791774.159999999,53448.0
41,grid,young_pro,AB,conventional,us_in_rrsp,early_rrif,base,0.15,0,65,0.0,flat,42,3382435.15,2516084.15,402547.59,1956186.0399999998,19688.920000000002
42,grid,young_pro,AB,conventional,us_in_rrsp,early_rrif,bull,0.15,0,65,0.0,flat,42,12353884.66,9482620.99,1517121.84,4896897.34,0.0
43,grid,young_pro,AB,conventional,us_in_rrsp,early_rrif,bear,0.15,0,65,0.0,flat,42,949120.66,699801.28,111961.01,1081981.8800000001,233335.54999999996
44,grid,young_pro,AB,conventional,us_in_rrsp,early_rrif,stochastic,0.15,0,65,0.0,flat,42,13228098.13,11145557.91,1783174.65,6379599.870000001,0.0
45,grid,young_pro,AB,conventional,us_in_rrsp,balanced_draw,base,0.15,0,65,0.0,flat,42,3535706.64,2595785.33,415298.96,2026384.6199999999,28544.41
46,grid,young_pro,AB,conventional,us_in_rrsp,balanced_draw,bull,0.15,0,65,0.0,flat,42,13002410.42,9819854.39,1571075.72,5245213.95,26724.0
47,grid,young_pro,AB,conventional,us_in_rrsp,balanced_draw,bear,0.15,0,65,0.0,flat,42,971367.54,711369.66,113811.83,1085385.5999999999,228697.41999999998
48,grid,young_pro,AB,conventional,us_in_rrsp,balanced_draw,stochastic,0.15,0,65,0.0,flat,42,13778235.45,11431629.32,1828943.13,6578297.64,26724.0
49,grid,young_pro,AB,conventional,bonds_everywhere,nonreg_first,base,0.15,0,65,0.0,flat,42,774873.33,567117.53,90732.97,998996.1699999998,236065.0
50,grid,young_pro,AB,conventional,bonds_everywhere,nonreg_first,bull,0.15,0,65,0.0,flat,42,1010037.35,731770.58,117075.77,1088460.9400000002,216979.84
51,grid,young_pro,AB,conventional,bonds_everywhere,nonreg_first,bear,0.15,0,65,0.0,flat,42,452391.15,342932.51,54865.67,861194.1100000003,236065.0
52,grid,young_pro,AB,conventional,bonds_everywhere,nonreg_first,stochastic,0.15,0,65,0.0,flat,42,2524647.52,1919210.37,307053.92,2217595.82,56906.93
53,grid,young_pro,AB,conventional,bonds_everywhere,rrif_meltdown,base,0.15,0,65,0.0,flat,42,738962.69,548444.0,87745.4,996072.9700000003,236065.0
54,grid,young_pro,AB,conventional,bonds_everywhere,rrif_meltdown,bull,0.15,0,65,0.0,flat,42,950545.97,700835.07,112126.4,1082544.4899999998,233213.96
55,grid,young_pro,AB,conventional,bonds_everywhere,rrif_meltdown,bear,0.15,0,65,0.0,flat,42,168057.71,167746.41,26837.7,932450.6600000007,236065.0
56,grid,young_pro,AB,conventional,bonds_everywhere,rrif_meltdown,stochastic,0.15,0,65,0.0,flat,42,2253501.71,1778214.55,284496.04,2184265.33,13347.64
57,grid,young_pro,AB,conventional,bonds_everywhere,oas_preservation,base,0.15,0,65,0.0,flat,42,581864.41,345228.28,55232.97,1018153.3700000002,250685.46999999997
58,grid,young_pro,AB,conventional,bonds_everywhere,oas_preservation,bull,0.15,0,65,0.0,flat,42,749738.69,432522.91,69199.22,1112057.2400000002,207947.87
59,grid,young_pro,AB,conventional,bonds_everywhere,oas_preservation,bear,0.15,0,65,0.0,flat,42,348713.53,223774.77,35801.66,871644.9500000002,246607.9
60,grid,young_pro,AB,conventional,bonds_everywhere,oas_preservation,stochastic,0.15,0,65,0.0,flat,42,2301353.88,1662504.86,265983.68,2264142.9000000004,91319.81
61,grid,young_pro,AB,conventional,bonds_everywhere,tfsa_last,base,0.15,0,65,0.0,flat,42,774873.33,567117.53,90732.97,998996.1699999998,236065.0
62,grid,young_pro,AB,conventional,bonds_everywhere,tfsa_last,bull,0.15,0,65,0.0,flat,42,1010037.35,731770.58,117075.77,1088460.9400000002,216979.84
63,grid,young_pro,AB,conventional,bonds_everywhere,tfsa_last,bear,0.15,0,65,0.0,flat,42,452391.15,342932.51,54865.67,861194.1100000003,236065.0
64,grid,young_pro,AB,conventional,bonds_everywhere,tfsa_last,stochastic,0.15,0,65,0.0,flat,42,2524647.52,1919210.37,307053.92,2217595.82,56906.93
65,grid,young_pro,AB,conventional,bonds_everywhere,early_rrif,base,0.15,0,65,0.0,flat,42,740642.6,549317.55,87885.16,996358.33,236065.0
66,grid,young_pro,AB,conventional,bonds_everywhere,early_rrif,bull,0.15,0,65,0.0,flat,42,950545.97,700835.07,112126.4,1082544.4899999998,233213.96
67,grid,young_pro,AB,conventional,bonds_everywhere,early_rrif,bear,0.15,0,65,0.0,flat,42,445455.88,336949.73,53908.49,861301.61,236065.0
68,grid,young_pro,AB,conventional,bonds_everywhere,early_rrif,stochastic,0.15,0,65,0.0,flat,42,2253501.71,1778214.55,284496.04,2184265.33,13347.64
69,grid,young_pro,AB,conventional,bonds_everywhere,balanced_draw,base,0.15,0,65,0.0,flat,42,752759.01,555618.09,88893.18,998074.91,236065.0
70,grid,young_pro,AB,conventional,bonds_everywhere,balanced_draw,bull,0.15,0,65,0.0,flat,42,972863.75,712440.31,113983.12,1085963.1399999997,228505.23999999996
71,grid,young_pro,AB,conventional,bonds_everywhere,balanced_draw,bear,0.15,0,65,0.0,flat,42,448358.74,341725.04,54672.49,862337.3600000002,236065.0
72,grid,young_pro,AB,conventional,bonds_everywhere,balanced_draw,stochastic,0.15,0,65,0.0,flat,42,2371073.04,1839351.64,294277.35,2197459.1500000004,32678.800000000003
73,grid,young_pro,AB,conventional,growth_everywhere,nonreg_first,base,0.15,0,65,0.0,flat,42,3758303.55,2711535.72,433817.83,2112204.48,53448.0
74,grid,young_pro,AB,conventional,growth_everywhere,nonreg_first,bull,0.15,0,65,0.0,flat,42,13903040.11,10288181.82,1646003.29,5635154.5,53448.0
75,grid,young_pro,AB,conventional,growth_everywhere,nonreg_first,bear,0.15,0,65,0.0,flat,42,1008437.23,730645.9,116895.83,1087885.6500000004,217253.16999999998
76,grid,young_pro,AB,conventional,growth_everywhere,nonreg_first,stochastic,0.15,0,65,0.0,flat,42,16827580.5,13017288.75,2082632.33,8754440.34,53448.0
77,grid,young_pro,AB,conventional,growth_everywhere,rrif_meltdown,base,0.15,0,65,0.0,flat,42,3382435.15,2516084.15,402547.59,1956186.0399999998,19688.920000000002
78,grid,young_pro,AB,conventional,growth_everywhere,rrif_meltdown,bull,0.15,0,65,0.0,flat,42,12353884.66,9482620.99,1517121.84,4896897.34,0.0
79,grid,young_pro,AB,conventional,growth_everywhere,rrif_meltdown,bear,0.15,0,65,0.0,flat,42,949120.66,699801.28,111961.01,1081981.8800000001,233335.54999999996
80,grid,young_pro,AB,conventional,growth_everywhere,rrif_meltdown,stochastic,0.15,0,65,0.0,flat,42,15012302.22,12073344.04,1931610.89,8107767.619999998,0.0
81,grid,young_pro,AB,conventional,growth_everywhere,oas_preservation,base,0.15,0,65,0.0,flat,42,3045629.67,1892222.95,302736.21,2239496.4099999997,88740.0
82,grid,young_pro,AB,conventional,growth_everywhere,oas_preservation,bull,0.15,0,65,0.0,flat,42,12722869.31,8931419.6,1428935.29,5849853.0200000005,88740.0
83,grid,young_pro,AB,conventional,growth_everywhere,oas_preservation,bear,0.15,0,65,0.0,flat,42,748603.36,431932.54,69104.76,1111454.4999999998,208262.60000000003
84,grid,young_pro,AB,conventional,growth_everywhere,oas_preservation,stochastic,0.15,0,65,0.0,flat,42,16358231.59,12477710.16,1996305.31,8859252.87,88740.0
85,grid,young_pro,AB,conventional,growth_everywhere,tfsa_last,base,0.15,0,65,0.0,flat,42,3758303.55,2711535.72,433817.83,2112204.48,53448.0
86,grid,young_pro,AB,conventional,growth_everywhere,tfsa_last,bull,0.15,0,65,0.0,flat,42,13903040.11,10288181.82,1646003.29,5635154.5,53448.0
87,grid,young_pro,AB,conventional,growth_everywhere,tfsa_last,bear,0.15,0,65,0.0,flat,42,1008437.23,730645.9,116895.83,1087885.6500000004,217253.16999999998
88,grid,young_pro,AB,conventional,growth_everywhere,tfsa_last,stochastic,0.15,0,65,0.0,flat,42,16827580.5,13017288.75,2082632.33,8754440.34,53448.0
89,grid,young_pro,AB,conventional,growth_everywhere,early_rrif,base,0.15,0,65,0.0,flat,42,3382435.15,2516084.15,402547.59,1956186.0399999998,19688.920000000002
90,grid,young_pro,AB,conventional,growth_everywhere,early_rrif,bull,0.15,0,65,0.0,flat,42,12353884.66,9482620.99,1517121.84,4896897.34,0.0
91,grid,young_pro,AB,conventional,growth_everywhere,early_rrif,bear,0.15,0,65,0.0,flat,42,949120.66,699801.28,111961.01,1081981.8800000001,233335.54999999996
92,grid,young_pro,AB,conventional,growth_everywhere,early_rrif,stochastic,0.15,0,65,0.0,flat,42,15012302.22,12073344.04,1931610.89,8107767.619999998,0.0
93,grid,young_pro,AB,conventional,growth_everywhere,balanced_draw,base,0.15,0,65,0.0,flat,42,3535706.64,2595785.33,415298.96,2026384.6199999999,28544.41
94,grid,young_pro,AB,conventional,growth_everywhere,balanced_draw,bull,0.15,0,65,0.0,flat,42,13002410.42,9819854.39,1571075.72,5245213.95,26724.0
95,grid,young_pro,AB,conventional,growth_everywhere,balanced_draw,bear,0.15,0,65,0.0,flat,42,971367.54,711369.66,113811.83,1085385.5999999999,228697.41999999998
96,grid,young_pro,AB,conventional,growth_everywhere,balanced_draw,stochastic,0.15,0,65,0.0,flat,42,15794249.41,12479956.58,1996664.71,8419298.35,26724.0
97,grid,young_pro,AB,conventional,tax_optimized,nonreg_first,base,0.15,0,65,0.0,flat,42,2458559.68,2035668.91,325686.09,1348115.6200000003,102534.48
98,grid,young_pro,AB,conventional,tax_optimized,nonreg_first,bull,0.15,0,65,0.0,flat,42,7636883.78,7029780.53,1124692.59,1633457.3,53448.0
99,grid,young_pro,AB,conventional,tax_optimized,nonreg_first,bear,0.15,0,65,0.0,flat,42,836530.49,641254.4,102594.11,1013941.9,236065.0
100,grid,young_pro,AB,conventional,tax_optimized,nonreg_first,stochastic,0.15,0,65,0.0,flat,42,8520700.95,7344312.92,1175014.54,3995731.0500000007,53448.0
101,grid,young_pro,AB,conventional,tax_optimized,rrif_meltdown,base,0.15,0,65,0.0,flat,42,2231107.18,1917393.61,306763.26,1237935.51,175100.42999999996
102,grid,young_pro,AB,conventional,tax_optimized,rrif_meltdown,bull,0.15,0,65,0.0,flat,42,7280047.2,6844225.51,1095005.7,1444453.8000000003,86280.12000000001
103,grid,young_pro,AB,conventional,tax_optimized,rrif_meltdown,bear,0.15,0,65,0.0,flat,42,757914.84,600374.26,96053.71,977016.6599999999,236065.0
104,grid,young_pro,AB,conventional,tax_optimized,rrif_meltdown,stochastic,0.15,0,65,0.0,flat,42,7746989.74,6941983.09,1110645.91,3514031.6399999997,0.0
105,grid,young_pro,AB,conventional,tax_optimized,oas_preservation,base,0.15,0,65,0.0,flat,42,1649602.67,1166288.91,186594.23,1401178.1700000002,94549.15
106,grid,young_pro,AB,conventional,tax_optimized,oas_preservation,bull,0.15,0,65,0.0,flat,42,6229538.47,5554887.56,888724.88,1710215.8199999996,88740.0
